Country Name,Country Code,Series Name,Series Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bhutan,BTN,"Population, total",SP.POP.TOTL,406875,418111,428934,439822,451476,464266,478692,494312,509540,522179,530804,534632,534516,532596,531897,534620,541465,551709,564377,577881,591021,603640,616018,627839,638815,648739,657410,664876,671613,678323,685503,693298,701583,710238,719056,727876,736709,745568,754394,763092,772000,780000,788000,796000,803000,811000
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,2.128539564,2.077944375,2.037156857,2.016982259,2.024156505,2.049136147,2.076690165,2.097024913,2.111412083,2.117190276,2.115896027,2.113193123,2.109350945,2.099461032,2.083251503,2.061755709,2.037897103,2.013095505,1.98710323,1.960521346,1.93343126,1.905767118,1.877080341,1.847322665,1.816097236,1.784254998,1.7516249,1.719932541,1.691076655,1.666110583,1.643602456,1.622458837,1.600004605,1.574598408,1.544967683,1.512924033,1.480132784,1.44923493,1.421899486,1.399098368,,,,,,
Bolivia,BOL,"Population, total",SP.POP.TOTL,5579935,5697096,5814345,5932810,6054123,6179460,6309130,6442831,6580312,6721115,6864842,7011453,7160920,7312850,7466793,7622338,7779267,7937458,8096761,8257066,8418264,8580235,8742814,8905823,9069039,9232306,9395446,9558439,9721454,9884781,10048590,10212954,10377676,10542376,10706517,10869730,11031813,11192854,11353142,11513100,11673000,11833000,11993000,12152000,12311000,12468000
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,0.98660755,1.014394477,1.006505461,0.996615073,0.985677293,0.950605074,0.991982804,0.978131583,0.666195959,-0.036308047,-0.989859326,-2.130879873,-3.153651532,-3.723423115,-3.553831484,-2.768136976,-1.70216035,-0.756087034,-0.046396402,0.241170821,0.208738983,0.115523663,0.103128474,0.07408038,0.053704531,0.030201109,0.002469872,-0.070083064,-0.226551525,-0.489520028,-0.818827889,-1.20265119,-1.547013043,-1.745167149,-1.722562344,-1.526276235,-1.264581174,-1.031207183,-0.826854592,-0.692206409,,,,,,
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4179855,4222471,4265185,4307905,4350577,4392131,4435917,4479519,4509461,4507824,4463423,4369319,4233676,4078937,3936524,3829050,3764425,3736070,3734337,3743354,3751176,3755512,3759387,3762173,3764194,3765331,3765424,3762786,3754271,3735938,3705472,3661175,3604972,3542605,3482104,3429361,3386267,3351527,3323929,3301000,3281000,3263000,3249000,3237000,3225000,3212000
Botswana,BWA,Population growth (annual %),SP.POP.GROW,3.72068558,3.560013544,3.430040105,3.395417048,3.483242243,3.631300334,3.794128627,3.880975117,3.835843319,3.634359761,3.340333628,3.028537543,2.76848286,2.57417937,2.46725648,2.419145312,2.391314201,2.344487226,2.271995769,2.161983064,2.032896436,1.889380292,1.773421002,1.730526111,1.778885026,1.882508206,2.026487056,2.131424745,2.119781897,1.957036327,1.705719395,1.413987357,1.191100637,1.120660803,1.256439448,1.525307942,1.832852792,2.070326167,2.197675758,2.175290909,,,,,,
Botswana,BWA,"Population, total",SP.POP.TOTL,897868,930408,962875,996130,1031439,1069582,1110943,1154906,1200067,1244484,1286756,1326322,1363554,1399110,1434059,1469174,1504730,1540425,1575824,1610264,1643334,1674678,1704642,1734398,1765527,1799078,1835908,1875459,1915639,1953498,1987105,2015402,2039551,2062536,2088614,2120716,2159944,2205128,2254126,2303697,2352000,2397000,2441000,2484000,2526000,2568000
Brazil,BRA,Population growth (annual %),SP.POP.GROW,2.360481344,2.355195197,2.341853663,2.305660293,2.24179441,2.159941551,2.073964874,1.994822329,1.923234877,1.862959145,1.811518179,1.759418174,1.707335299,1.664858508,1.633793357,1.609715254,1.588837626,1.56372474,1.528963703,1.481112099,1.424167434,1.366957076,1.312744186,1.257382738,1.201294128,1.145880998,1.090196854,1.037862037,0.994311624,0.961948263,0.937956738,0.915962656,0.893531058,0.873603191,0.855792023,0.838848283,0.823748232,0.807147162,0.783847579,0.751548427,,,,,,
Brazil,BRA,"Population, total",SP.POP.TOTL,120694009,123570327,126498314,129448819,132383568,135274080,138108912,140891602,143627503,146328304,149003223,151648011,154259380,156849078,159432716,162019896,164614688,167209040,169785250,172318675,174790340,177196054,179537520,181809246,184006481,186127103,188167356,190130443,192030362,193886508,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,211049527,212559000,213993000,215354000,216642000,217863000,219021000
British Virgin Islands,VGB,Population growth (annual %),SP.POP.GROW,2.29125286,2.986833771,3.514380361,4.024382104,4.372868194,4.649271933,4.846255042,5.044987785,4.734574542,4.289487248,3.650954237,2.913292382,2.370871669,1.86981592,1.521423958,1.245229313,0.973858012,0.832338147,0.790157583,1.028944757,1.413118192,1.77626297,2.172126352,2.537460035,3.008907624,3.40254209,3.887610285,4.174235511,4.106630531,3.545990305,2.753990182,1.87127874,1.162048569,0.685255825,0.491044627,0.560707339,0.693936844,0.753414274,0.757847309,0.762137664,,,,,,
