Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,30576,31893,33328,34889,36557,38333,40211,42173,44083,45820,47271,48404,49245,49831,50215,50457,50533,50450,50356,50423,50753,51422,52370,53456,54476,58413,58791,59000,60000,60000,61000,61000,62000
Mauritania,MRT,Population growth (annual %),SP.POP.GROW,2.92793795,2.932800529,2.929207966,2.908410812,2.864579956,2.808231095,2.750813736,2.700734961,2.659862502,2.63111459,2.611891534,2.599013222,2.587652361,2.574881777,2.55889067,2.543894809,2.529553754,2.524318135,2.541954663,2.58502223,2.644090516,2.707315439,2.762661377,2.805704365,2.83295016,2.780434406,2.741280273,..,..,..,..,..,..
Mauritania,MRT,"Population, total",SP.POP.TOTL,1540640,1586493,1633652,1681863,1730738,1780030,1829675,1879763,1930433,1981899,2034346,2087912,2142645,2198532,2255516,2313630,2372901,2433563,2496216,2561585,2630219,2702400,2778099,2857148,2939247,4403319,4525696,4650000,4775000,4902000,5030000,5160000,5291000
Mauritius,MUS,Population growth (annual %),SP.POP.GROW,1.686012316,1.481968308,1.222428188,0.919667982,1.04573546,0.817321395,0.764515986,0.7480991,0.688400518,0.765914828,0.712313471,1.079463625,1.315743114,1.185540614,1.400064494,0.859933461,1.022764541,1.25209761,1.051421625,1.271248552,0.982676166,0.790047581,0.694240135,0.723661766,0.627103982,0.054547267,0.032240043,..,..,..,..,..,..
Mauritius,MUS,"Population, total",SP.POP.TOTL,966039,980462,992521,1001691,1012221,1020528,1028360,1036082,1043239,1051260,1058775,1070266,1084441,1097374,1112846,1122457,1133996,1148284,1160421,1175267,1186873,1196287,1204621,1213370,1221003,1265303,1265711,1268000,1270000,1271000,1272000,1272000,1273000
Mexico,MEX,Population growth (annual %),SP.POP.GROW,2.446208856,2.400441931,2.350893129,2.29636369,2.234977339,2.169695508,2.103978937,2.042151814,1.986004265,1.937095064,1.893125473,1.85244329,1.810739862,1.764754849,1.712699034,1.657597749,1.605744537,1.559440673,1.516092702,1.476210015,1.441087472,1.403960865,1.373013961,1.363786131,1.381467019,1.126421149,1.091362132,..,..,..,..,..,..
Mexico,MEX,"Population, total",SP.POP.TOTL,67761372,69407624,71058654,72709299,74352631,75983485,77599098,79200081,80788721,82368931,83943132,85512623,87075138,88625440,90156400,91663285,93147044,94611002,96056321,97484832,98899845,100298153,101684758,103081020,104514932,126190788,127575529,128933000,130262000,131563000,132834000,134074000,135284000
"Micronesia, Fed. Sts.",FSM,Population growth (annual %),SP.POP.GROW,3.364626149,3.361219129,3.375039272,3.299572528,3.132886358,2.896521385,2.610422217,2.331962388,2.204921051,2.22754612,2.357772149,2.531521195,2.617068909,2.460865326,2.014881567,1.403850569,0.73384624,0.146678317,-0.251052336,-0.395391021,-0.352258675,-0.213445263,-0.133518225,-0.120599647,-0.258516671,1.054008214,1.037743079,..,..,..,..,..,..
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,72930,75423,78012,80629,83195,85640,87905,89979,91985,94057,96301,98770,101389,103915,106030,107529,108321,108480,108208,107781,107402,107173,107030,106901,106625,112640,113815,115000,116000,117000,119000,120000,121000
Middle East & North Africa,MEA,Population growth (annual %),SP.POP.GROW,3.221547424,3.305455837,3.368997584,3.386654096,3.343217838,3.28697654,3.20676867,3.126374472,3.020690757,2.887315929,3.569673116,2.687161376,1.766088943,2.428401379,2.306856457,2.770264192,2.077693142,2.003330482,1.930234512,1.90849947,1.903477907,1.893402965,1.887674044,1.908139061,1.958791978,1.73544139,1.73629248,1.708445261,1.709973951,1.700909932,1.67329533,1.619146458,1.55003938
